Dupe 1,Dupe 2
397679,397722
396387,397698
396500,397680
397644,397667
397643,397666
397647,397665
397646,397664
397641,397663
397640,397661
397639,397660
397645,397659
397638,397658
397637,397657
397636,397656
397635,397655
397634,397654
397633,397653
397631,397652
397630,397651
397629,397650
397628,397649
397627,397648
397602,397619
397601,397618
397599,397617
397598,397616
397597,397615
397596,397612
397594,397611
397593,397610
397592,397609
397591,397608
397588,397605
397556,397585
397532,397584
397521,397582
397514,397581
397466,397576
397465,397575
397464,397574
397463,397573
397462,397572
397461,397570
397460,397568
397459,397567
397458,397565
397456,397564
397455,397563
397454,397562
397450,397559
397449,397558
397447,397555
397446,397553
397445,397551
397444,397550
397442,397549
397441,397548
397440,397547
397437,397545
397436,397544
397434,397543
397433,397542
397432,397541
397430,397540
397429,397539
397426,397538
397425,397536
397424,397535
397423,397534
397422,397533
397421,397531
397420,397530
397418,397528
397417,397527
397416,397525
397415,397524
397414,397523
397412,397519
397410,397518
397409,397513
397407,397512
397406,397511
397405,397510
397404,397509
397403,397508
397401,397507
397400,397505
397399,397504
397398,397503
397397,397502
397470,397501
397394,397500
397469,397499
397392,397498
397391,397497
397389,397495
397388,397494
397386,397492
397385,397491
397384,397490
397468,397487
397380,397485
397379,397484
397467,397482
397378,397481
397377,397480
397376,397479
397375,397477
397374,397476
397351,397353
397349,397350
397332,397346
397330,397343
397328,397342
397327,397341
397325,397340
397324,397339
397323,397338
397322,397337
397321,397336
397319,397335
397303,397314
397302,397313
397301,397312
397300,397311
397299,397310
397297,397309
397296,397308
397294,397307
397293,397305
397292,397304
397265,397290
397243,397288
397242,397287
397237,397286
397236,397285
397235,397284
397232,397283
397231,397282
397230,397281
397229,397280
397228,397277
397227,397276
397226,397275
397225,397274
397224,397273
397223,397272
397222,397271
397247,397270
397221,397269
397220,397268
397219,397267
395128,397266
397215,397264
397214,397263
397212,397262
397211,397261
397210,397260
397209,397259
397207,397258
397206,397257
397205,397256
397204,397255
397202,397253
397201,397252
397199,397251
397198,397250
397151,397187
397150,397186
397149,397184
397148,397182
397146,397181
397145,397180
397143,397179
397142,397177
397141,397176
397140,397175
397139,397174
397138,397173
397137,397172
397136,397171
397135,397170
397134,397169
397152,397168
397133,397167
397131,397166
397130,397165
397129,397162
397128,397160
397127,397159
397126,397158
397125,397157
397123,397156
397121,397155
397120,397154
397119,397153
395448,397144
397110,397111
397106,397109
397105,397108
397104,397107
397089,397103
397086,397102
397084,397101
397083,397099
397082,397098
397081,397097
397080,397096
397079,397095
397077,397094
397076,397093
397087,397092
397073,397091
397072,397090
397061,397063
396887,397058
397049,397057
397048,397056
397046,397055
397045,397054
397044,397053
397043,397052
396988,397041
396934,397039
396903,397037
396902,397036
396900,397035
396899,397034
396914,397033
396897,397032
396896,397031
396895,397030
396894,397029
396893,397028
396891,397027
396890,397024
396889,397023
396888,397022
396886,397021
396885,397020
396884,397019
396883,397018
396881,397017
396880,397016
396879,397015
396878,397013
396877,397012
396876,397011
396875,397010
396874,397009
396872,397007
396871,397006
396870,397005
396913,397001
396868,397000
396867,396999
396866,396997
396864,396996
396862,396994
396860,396990
396859,396989
396858,396987
396857,396985
396855,396984
396854,396983
396853,396982
396911,396981
396852,396980
396848,396979
396845,396977
396910,396976
396844,396975
396843,396974
396842,396973
396841,396972
396840,396971
396839,396970
396838,396969
396837,396968
396836,396967
396834,396966
396832,396965
396831,396964
396830,396963
396829,396962
396827,396961
396826,396960
396825,396959
396824,396958
396817,396956
396816,396955
396815,396954
396909,396953
396908,396952
396814,396951
396813,396950
396812,396949
396811,396948
396807,396947
396806,396946
396805,396945
396804,396944
396803,396943
396802,396942
396801,396941
396800,396940
396799,396939
396798,396938
396797,396937
396796,396936
396794,396932
396793,396931
396790,396930
396789,396929
396786,396928
396784,396927
396907,396926
396783,396925
396782,396924
396781,396923
396779,396922
396756,396760
396755,396759
396754,396757
396751,396753
396750,396752
396699,396746
396698,396745
396690,396744
396674,396743
396671,396742
396646,396738
396645,396737
396644,396736
396641,396735
396640,396734
396639,396733
396638,396732
396637,396730
396634,396729
396633,396728
396632,396727
396630,396726
396628,396725
396627,396724
396625,396723
396624,396722
396623,396721
396621,396720
396620,396719
396619,396718
396618,396717
396617,396716
396616,396715
396615,396714
396614,396713
396613,396712
396612,396709
396610,396708
396609,396707
396608,396706
396607,396705
396606,396704
396605,396703
396604,396702
396603,396701
396602,396700
396600,396697
396599,396696
396598,396695
396343,396693
396597,396692
396596,396691
396595,396689
396594,396688
396593,396687
396590,396686
396589,396685
396588,396684
396587,396683
396586,396682
396585,396681
396584,396680
396583,396679
396581,396678
396580,396677
396579,396676
396578,396675
396577,396673
396575,396672
396573,396670
396572,396669
396571,396668
396569,396667
396568,396666
396567,396665
396564,396663
396562,396662
396559,396661
396558,396660
396557,396659
396556,396658
396555,396657
396554,396656
396553,396655
396552,396654
396551,396653
396550,396652
396549,396651
396497,396530
396496,396529
396495,396528
396494,396527
396493,396526
396491,396525
396489,396524
396488,396523
396487,396522
396486,396521
396485,396520
396484,396517
396483,396516
396482,396515
396481,396514
396480,396513
396479,396512
396478,396511
396475,396509
396473,396508
396472,396507
396471,396506
396470,396505
396469,396504
396468,396503
396467,396502
396466,396501
396465,396499
396456,396462
396453,396461
396452,396460
396451,396459
396450,396458
396434,396446
396433,396445
396432,396444
396431,396443
396435,396442
396430,396441
396429,396439
396428,396438
396427,396437
396400,396423
396384,396422
396359,396419
396358,396418
396357,396417
396356,396416
396355,396414
396354,396413
396353,396412
396352,396411
396351,396410
396350,396409
396348,396407
396347,396406
396345,396405
396344,396404
396342,396402
396341,396401
396339,396399
396338,396397
396335,396395
396334,396394
396333,396393
396332,396392
396331,396391
396330,396389
396329,396388
396327,396386
396326,396385
396325,396383
396324,396382
396322,396381
396320,396380
396318,396378
395468,396377
396316,396374
396315,396373
396312,396371
396309,396368
396308,396367
396307,396366
396236,396298
396226,396295
396225,396294
396224,396293
396222,396292
396221,396291
396220,396290
396218,396289
396217,396288
396230,396286
396212,396285
396211,396284
396210,396282
396209,396281
396207,396278
396205,396277
396203,396276
396202,396275
396201,396274
396200,396273
396198,396272
396197,396271
396196,396270
396194,396269
396193,396268
396192,396267
396191,396266
396189,396265
396188,396264
396187,396263
396186,396262
395141,396261
396184,396260
396183,396259
396182,396258
396180,396255
396179,396254
396176,396253
396175,396252
396174,396251
396173,396250
396172,396249
396171,396248
396170,396247
396168,396246
396166,396245
396165,396244
396164,396243
396163,396241
396162,396240
396161,396238
396160,396237
396159,396235
395462,396233
396143,396169
396140,396146
396138,396144
396137,396142
396136,396141
395036,396139
396129,396132
396128,396131
396126,396130
396104,396125
396097,396124
396096,396123
396095,396122
396094,396121
396093,396120
396092,396119
396090,396117
396089,396116
396088,396115
396087,396113
396086,396112
396085,396111
396084,396110
396083,396109
396082,396108
396081,396107
396080,396106
396079,396105
396077,396103
396076,396102
396098,396101
396058,396069
396056,396068
396055,396067
396001,396065
395989,396064
395971,396063
395970,396061
395968,396060
395967,396059
395974,396057
395966,396054
395965,396053
395963,396052
395960,396051
395959,396050
395958,396049
395957,396048
395955,396047
395954,396046
395953,396045
395952,396044
395951,396043
395949,396042
395948,396041
395947,396040
395973,396039
395946,396038
395944,396037
395943,396036
395941,396035
395939,396034
395938,396033
395936,396032
395934,396031
395933,396030
395932,396029
395931,396028
390402,396027
395928,396026
395926,396025
395925,396023
395924,396022
395923,396021
395922,396020
395921,396019
395920,396018
395919,396017
395918,396016
395917,396015
395916,396014
395915,396012
395913,396010
395912,396009
395911,396008
395910,396007
395909,396006
395908,396005
395906,396004
395905,396003
395904,396002
395903,395999
395901,395998
395900,395996
395899,395995
395898,395994
395897,395993
395894,395992
395893,395991
395892,395990
395891,395988
395890,395987
395889,395986
395888,395985
395886,395984
395885,395983
395884,395982
395881,395980
395878,395979
395877,395978
395876,395977
395849,395858
395848,395857
395846,395856
395845,395855
395843,395854
395842,395853
395841,395852
394977,395850
395833,395837
395831,395836
395830,395835
395829,395834
395784,395826
395783,395825
395782,395824
395781,395823
395780,395822
395778,395819
395777,395818
395776,395817
395775,395815
395774,395814
395773,395813
395772,395812
395771,395811
395769,395810
395768,395809
395767,395808
395785,395807
395764,395806
395761,395805
395760,395804
395759,395802
395757,395801
395756,395800
395753,395798
395752,395797
395750,395796
395749,395794
395748,395793
395747,395792
395746,395791
395745,395790
395744,395789
395742,395788
395359,395731
395689,395729
395675,395728
395669,395727
395665,395726
395646,395724
395645,395723
395644,395722
395642,395720
395641,395719
395640,395718
395638,395717
395635,395716
395629,395713
395628,395712
395627,395710
395626,395709
395625,395707
395623,395706
395622,395704
395620,395702
395619,395701
395618,395700
395616,395699
395615,395698
395614,395697
395613,395696
395612,395695
395609,395694
395608,395693
395606,395691
395605,395690
395604,395688
395603,395687
395602,395686
395600,395685
395649,395684
395599,395683
395598,395682
395597,395681
395596,395680
395595,395679
395594,395678
395593,395677
395592,395676
395591,395674
395590,395673
395589,395671
395588,395670
395648,395668
395586,395667
395584,395666
395582,395664
395581,395663
395580,395662
395579,395661
395578,395660
395577,395659
395576,395658
395575,395657
395570,395651
395354,395632
395326,395610
395544,395554
395534,395553
395509,395551
395508,395550
395212,395549
395506,395548
395505,395547
395501,395543
395500,395542
395499,395541
395498,395540
395496,395539
395493,395538
395492,395537
395490,395533
395489,395532
395487,395531
395485,395530
395484,395529
395483,395528
395482,395527
395481,395526
395480,395525
395478,395524
395477,395523
395476,395521
395475,395520
395473,395519
395472,395518
395469,395516
395467,395515
395466,395514
395465,395513
395464,395512
395463,395511
395353,395503
395425,395452
395423,395451
395421,395450
395420,395449
395418,395447
395426,395445
395417,395444
395415,395443
395414,395442
395413,395441
395412,395440
395411,395439
395410,395438
395409,395437
395407,395435
395406,395434
395404,395433
395403,395432
395401,395431
395399,395430
395398,395429
395397,395428
395272,395405
395361,395388
395351,395387
395344,395386
395289,395384
395253,395382
395242,395380
395219,395374
395218,395373
395217,395372
395216,395371
395215,395370
395214,395369
395211,395368
395210,395367
395209,395366
395208,395365
395207,395364
395206,395363
395205,395362
395204,395360
395203,395358
395202,395357
395201,395356
395199,395355
395195,395352
395194,395349
395193,395347
395191,395345
395189,395343
395187,395342
395185,395339
395184,395338
395177,395337
395174,395335
395173,395334
395172,395333
395171,395331
395169,395330
395168,395329
395167,395328
395166,395327
395165,395325
395164,395323
395163,395322
395162,395321
395161,395320
395227,395318
395160,395317
395159,395315
395158,395314
395157,395313
395156,395312
395155,395311
395154,395309
395153,395308
395152,395307
395151,395306
395150,395305
395149,395304
395148,395303
395147,395302
395145,395301
395143,395300
395142,395299
395139,395297
395138,395296
395137,395295
395135,395294
395134,395293
395133,395292
395131,395291
395130,395290
395129,395288
395126,395287
395125,395286
395123,395285
395122,395284
395118,395283
395117,395282
395116,395281
395115,395279
395114,395277
395113,395276
395111,395275
395110,395274
395109,395273
395108,395271
395107,395270
395106,395269
395104,395268
395103,395267
395102,395266
395226,395265
395099,395262
395098,395260
395097,395258
395096,395257
395094,395255
395093,395254
395091,395252
395089,395251
395088,395249
395085,395247
395084,395246
395082,395245
395081,395244
395225,395243
395079,395241
395078,395240
395224,395239
395076,395237
395075,395236
395074,395235
395073,395234
395072,395233
395023,395039
395021,395038
395020,395037
395019,395035
395018,395034
395017,395033
395016,395032
395015,395031
395014,395030
395013,395029
395012,395028
395011,395027
395010,395026
395009,395025
395008,395024
395001,395003
394991,395000
394990,394999
394989,394998
394988,394996
394987,394994
394992,394993
394983,394985
394980,394981
394964,394978
394963,394976
394962,394975
394961,394974
394960,394973
394959,394972
394958,394971
394957,394969
394956,394968
394955,394967
394946,394951
394939,394950
394938,394949
394937,394947
394941,394945
394936,394944
394935,394943
394929,394932
394928,394931
394927,394930
394917,394926
394897,394924
394893,394923
394890,394922
394884,394921
394883,394920
394882,394919
394881,394918
394880,394916
394879,394915
394878,394913
394876,394912
394874,394910
394872,394909
394869,394905
394866,394904
394864,394903
394863,394902
394862,394901
394860,394900
394859,394898
394858,394896
394857,394895
394856,394894
394855,394892
394854,394889
394853,394888
394842,394847
394830,394845
394829,394844
394828,394843
394827,394841
394826,394840
394825,394839
394824,394838
394823,394837
394822,394836
394821,394835
394820,394834
394819,394833
394817,394832
394809,394810
394751,394806
394750,394805
394749,394804
394748,394803
394747,394802
394746,394801
394745,394800
394743,394799
394741,394798
394740,394797
394739,394796
394738,394795
394737,394794
394735,394793
394734,394792
394733,394791
394732,394790
394731,394789
394730,394788
394729,394787
394727,394786
394724,394783
394723,394781
394722,394780
394721,394778
394720,394777
394756,394776
394719,394775
394718,394774
394717,394772
394716,394771
394715,394770
394714,394769
394711,394767
394710,394766
394755,394764
394709,394763
394708,394762
394707,394761
394683,394692
394682,394690
394681,394689
394684,394688
394678,394687
394677,394685
394670,394674
394668,394672
394667,394671
394661,394666
394660,394665
394662,394664
394658,394663
394644,394655
394643,394654
394641,394653
394645,394652
394640,394651
394639,394650
394638,394649
394636,394647
394624,394629
394619,394621
394618,394620
394575,394617
394574,394616
394573,394615
394572,394614
394571,394613
394570,394612
394569,394611
394568,394610
394566,394608
394563,394607
394562,394606
394561,394605
394560,394604
394559,394603
394558,394602
394557,394601
394579,394600
394556,394599
394555,394598
394554,394597
394578,394596
394553,394595
394552,394594
394551,394593
394549,394592
394548,394591
394547,394590
394546,394588
394543,394585
394542,394584
394541,394583
394540,394582
394539,394581
394524,394528
394523,394527
394509,394526
394494,394525
394490,394522
394489,394521
394488,394520
394487,394519
394486,394517
394485,394516
394481,394515
394480,394514
394479,394513
394477,394512
394476,394510
394474,394508
394473,394505
394472,394503
394471,394502
394469,394500
394468,394499
394467,394498
394466,394497
394458,394460
394450,394457
394449,394455
394448,394454
394447,394453
394436,394442
394434,394441
394433,394440
394432,394439
394431,394438
394430,394437
394400,394427
394399,394426
394398,394425
394396,394424
394393,394423
394392,394422
394390,394421
394389,394420
394388,394418
394386,394417
394385,394416
394384,394415
394383,394413
394382,394412
394380,394411
394379,394410
394378,394407
394377,394406
394376,394405
394374,394404
394371,394403
393843,394375
392125,394366
394349,394364
394329,394361
394328,394359
394326,394358
394325,394357
394332,394356
394322,394355
394320,394354
394319,394353
394318,394352
394317,394351
394315,394347
394314,394346
394313,394344
394312,394343
394311,394342
393677,394340
394308,394339
394307,394338
394294,394295
392181,394293
394285,394291
394284,394290
394269,394283
394268,394282
394267,394281
394266,394280
394265,394279
394261,394277
394260,394276
394259,394275
394257,394274
394234,394247
394233,394246
394232,394244
394231,394243
394230,394241
394229,394240
394227,394238
394224,394237
394223,394236
394222,394235
394200,394215
394189,394212
394164,394210
394155,394209
394134,394207
394130,394206
394127,394205
394126,394204
394125,394203
394123,394202
394122,394201
394120,394199
394119,394198
394117,394197
394116,394196
394133,394194
394114,394193
394112,394192
394111,394191
394110,394190
394109,394188
394107,394187
394106,394186
394105,394185
394104,394184
394103,394183
394102,394182
394100,394181
394099,394180
394098,394179
394096,394178
394095,394177
390827,394176
394093,394175
394092,394174
394090,394173
394088,394172
394087,394171
394086,394169
394085,394168
393390,394167
394082,394166
394080,394165
394076,394163
394075,394162
394074,394161
394072,394160
394071,394159
394070,394158
394068,394157
394067,394156
390512,394154
394066,394153
394063,394152
394062,394151
394060,394150
394132,394149
394058,394148
